d3d11 render+decode devices on adapter 1: NVIDIA GeForce RTX 3070 Laptop GPU
stat: drawn=1376 want=1376 fps=21.6 playing=1 seeks=1 aborts=0 dec=1392 bf=0 lock=0.0 draw=0.0 pres=47.9
stat: drawn=1407 want=1407 fps=21.4 playing=1 seeks=1 aborts=0 dec=1423 bf=0 lock=0.0 draw=0.0 pres=43.0
stat: drawn=1438 want=1438 fps=21.5 playing=1 seeks=1 aborts=0 dec=1454 bf=0 lock=0.0 draw=0.0 pres=48.3
stat: drawn=1468 want=1468 fps=21.7 playing=1 seeks=1 aborts=0 dec=1484 bf=0 lock=0.0 draw=0.0 pres=47.2
stat: drawn=1499 want=1499 fps=21.5 playing=1 seeks=1 aborts=0 dec=1515 bf=0 lock=0.0 draw=0.0 pres=44.5
stat: drawn=1529 want=1529 fps=21.5 playing=1 seeks=1 aborts=0 dec=1545 bf=0 lock=0.0 draw=0.0 pres=50.3
stat: drawn=1559 want=1559 fps=21.9 playing=1 seeks=1 aborts=0 dec=1575 bf=0 lock=0.0 draw=0.0 pres=52.7
stat: drawn=1591 want=1591 fps=21.3 playing=1 seeks=1 aborts=0 dec=1607 bf=0 lock=0.0 draw=0.0 pres=47.0
stat: drawn=1621 want=1621 fps=20.7 playing=1 seeks=1 aborts=0 dec=1637 bf=0 lock=0.0 draw=0.0 pres=46.0
stat: drawn=1651 want=1651 fps=21.7 playing=1 seeks=1 aborts=0 dec=1667 bf=0 lock=0.0 draw=0.0 pres=45.5
stat: drawn=1682 want=1682 fps=21.7 playing=1 seeks=1 aborts=0 dec=1698 bf=0 lock=0.0 draw=0.0 pres=44.0
stat: drawn=1713 want=1713 fps=21.2 playing=1 seeks=1 aborts=0 dec=1729 bf=0 lock=0.0 draw=0.0 pres=46.0
stat: drawn=1743 want=1743 fps=20.9 playing=1 seeks=1 aborts=0 dec=1759 bf=0 lock=0.0 draw=0.0 pres=51.2
stat: drawn=1773 want=1773 fps=20.9 playing=1 seeks=1 aborts=0 dec=1789 bf=0 lock=0.0 draw=0.0 pres=57.2
stat: drawn=1803 want=1803 fps=21.7 playing=1 seeks=1 aborts=0 dec=1819 bf=0 lock=0.0 draw=0.0 pres=47.9
stat: drawn=1834 want=1834 fps=20.6 playing=1 seeks=1 aborts=0 dec=1850 bf=0 lock=0.0 draw=0.0 pres=64.1
stat: drawn=1865 want=1865 fps=21.0 playing=1 seeks=1 aborts=0 dec=1881 bf=0 lock=0.0 draw=0.0 pres=47.1
stat: drawn=1896 want=1896 fps=21.5 playing=1 seeks=1 aborts=0 dec=1912 bf=0 lock=0.0 draw=0.0 pres=48.2
stat: drawn=1927 want=1927 fps=21.1 playing=1 seeks=1 aborts=0 dec=1943 bf=0 lock=0.0 draw=0.0 pres=47.0
sync: window=65s audio=on underrun_frames=0 callbacks=12207 max_video_lag_frames=2
sync: wall-vs-audio-clock drift_ms max=0.01 avg=0.00 samples=125 (threshold 33.00) -> PASS
cpu: 176.9% of one core over 65.2 s (process total, all threads)
