d3d11 render+decode devices on adapter 1: NVIDIA GeForce RTX 3070 Laptop GPU
stat: drawn=1371 want=1371 fps=21.0 playing=1 seeks=1 aborts=0 dec=1387 bf=0 lock=0.0 draw=0.0 pres=49.3
stat: drawn=1403 want=1403 fps=21.5 playing=1 seeks=1 aborts=0 dec=1419 bf=0 lock=0.0 draw=0.0 pres=44.5
stat: drawn=1433 want=1433 fps=21.6 playing=1 seeks=1 aborts=0 dec=1449 bf=0 lock=0.0 draw=0.0 pres=42.7
stat: drawn=1463 want=1463 fps=21.5 playing=1 seeks=1 aborts=0 dec=1479 bf=0 lock=0.0 draw=0.0 pres=45.0
stat: drawn=1495 want=1495 fps=21.1 playing=1 seeks=1 aborts=0 dec=1511 bf=0 lock=0.0 draw=0.0 pres=46.9
stat: drawn=1526 want=1526 fps=21.4 playing=1 seeks=1 aborts=0 dec=1542 bf=0 lock=0.0 draw=0.0 pres=46.7
stat: drawn=1556 want=1556 fps=21.6 playing=1 seeks=1 aborts=0 dec=1572 bf=0 lock=0.0 draw=0.0 pres=45.7
stat: drawn=1587 want=1587 fps=21.3 playing=1 seeks=1 aborts=0 dec=1603 bf=0 lock=0.0 draw=0.0 pres=49.2
stat: drawn=1618 want=1618 fps=21.5 playing=1 seeks=1 aborts=0 dec=1634 bf=0 lock=0.0 draw=0.0 pres=48.5
stat: drawn=1648 want=1648 fps=21.8 playing=1 seeks=1 aborts=0 dec=1664 bf=0 lock=0.0 draw=0.0 pres=45.2
stat: drawn=1678 want=1678 fps=21.9 playing=1 seeks=1 aborts=0 dec=1694 bf=0 lock=0.0 draw=0.0 pres=43.0
stat: drawn=1709 want=1709 fps=21.0 playing=1 seeks=1 aborts=0 dec=1725 bf=0 lock=0.0 draw=0.0 pres=47.3
stat: drawn=1741 want=1741 fps=21.2 playing=1 seeks=1 aborts=0 dec=1757 bf=0 lock=0.0 draw=0.0 pres=48.7
stat: drawn=1772 want=1772 fps=21.3 playing=1 seeks=1 aborts=0 dec=1788 bf=0 lock=0.0 draw=0.0 pres=47.1
cpu: 176.3% of one core over 60.0 s (process total, all threads)
engine-latency (request->ring published, present excluded): n=1 median=21954600.8 p95=21954600.8 max=21954600.8 ms
